Date,Open,High,Low,Close
2025-04-28,2.9795279502868652,2.9795279502868652,2.969187021255493,2.99399995803833
2025-04-29,2.9556949138641357,2.976370096206665,2.9556949138641357,2.9725000858306885
2025-04-30,2.9761741161346436,2.9761741161346436,2.955203056335449,2.9700000286102295
2025-05-01,2.9664011001586914,2.9664011001586914,2.9648690223693848,2.9600000381469727
2025-05-02,2.9867279529571533,2.9867279529571533,2.9867279529571533,2.9648690223693848
2025-05-05,2.9754741191864014,2.9754741191864014,2.9754741191864014,2.993056058883667
2025-05-06,2.985474109649658,2.985474109649658,2.985474109649658,2.990999937057495
2025-05-07,2.9823598861694336,2.9823598861694336,2.9823598861694336,2.985474109649658
2025-05-08,2.9860920906066895,2.9860920906066895,2.9860920906066895,2.9779999256134033
2025-05-09,2.994839906692505,2.994839906692505,2.994839906692505,2.9860920906066895
2025-05-12,3.0226290225982666,3.0226290225982666,3.0226290225982666,2.9937360286712646
2025-05-13,3.021472930908203,3.021472930908203,3.0211079120635986,3.0226290225982666
2025-05-14,3.00700306892395,3.00700306892395,3.00700306892395,3.015000104904175
2025-05-15,3.0060269832611084,3.0060269832611084,3.0060269832611084,3.0144999027252197
2025-05-16,2.9994289875030518,2.9994289875030518,2.9994289875030518,3.013000011444092
2025-05-19,2.9959559440612793,2.9959559440612793,2.9959559440612793,3.0045371055603027
2025-05-20,3.008589029312134,3.008589029312134,2.985551118850708,2.9959559440612793
2025-05-21,2.973392963409424,2.977484941482544,2.973392963409424,2.996999979019165
2025-05-22,2.981192111968994,2.981192111968994,2.973994016647339,2.9790000915527344
2025-05-23,2.975951910018921,2.975951910018921,2.975951910018921,2.973994016647339
2025-05-26,2.9677650928497314,2.9677650928497314,2.9622321128845215,2.9700489044189453
2025-05-27,2.961289882659912,2.9713399410247803,2.961289882659912,2.965686082839966
2025-05-28,2.974118947982788,2.977647066116333,2.974118947982788,2.9713399410247803
2025-05-29,2.9878830909729004,2.9878830909729004,2.9878830909729004,2.977647066116333
2025-05-30,2.973783016204834,2.973783016204834,2.973783016204834,2.9878830909729004
2025-06-02,2.9646799564361572,2.9646799564361572,2.958064079284668,2.968858003616333
2025-06-03,2.9528939723968506,2.9640679359436035,2.9528939723968506,2.958064079284668
2025-06-04,2.966907024383545,2.966907024383545,2.965949058532715,2.9640679359436035
2025-06-05,2.96225905418396,2.96225905418396,2.96225905418396,2.965949058532715
2025-06-06,2.9519450664520264,2.9519450664520264,2.9519450664520264,2.938999891281128
2025-06-09,2.9617888927459717,2.9617888927459717,2.9617888927459717,2.9568119049072266
2025-06-10,2.9667320251464844,2.9667320251464844,2.942500114440918,2.940000057220459
2025-06-11,2.936000108718872,2.9638121128082275,2.936000108718872,2.942500114440918
2025-06-12,2.9418020248413086,2.944257974624634,2.9418020248413086,2.930000066757202
2025-06-13,2.9535810947418213,2.9535810947418213,2.947453022003174,2.9159998893737793
2025-06-16,2.937562942504883,2.937562942504883,2.936053991317749,2.932110071182251
2025-06-17,2.94058895111084,2.94058895111084,2.9100000858306885,2.9149999618530273
2025-06-18,2.948029041290283,2.948029041290283,2.927000045776367,2.934999942779541
2025-06-19,2.9543039798736572,2.9543039798736572,2.9521560668945312,2.930999994277954
2025-06-20,2.947983980178833,2.947983980178833,2.947983980178833,2.934000015258789
2025-06-23,2.954988956451416,2.954988956451416,2.9493119716644287,2.9454779624938965
2025-06-24,2.9168660640716553,2.9322619438171387,2.9168660640716553,2.9165000915527344
2025-06-25,2.9100000858306885,2.929579973220825,2.9100000858306885,2.9322619438171387
2025-06-26,2.884999990463257,2.9342520236968994,2.884999990463257,2.9100000858306885
2025-06-27,2.9367990493774414,2.9367990493774414,2.90848708152771,2.8450000286102295
2025-06-30,2.908735990524292,2.908735990524292,2.9078190326690674,2.907655954360962
2025-07-01,2.8972671031951904,2.8972671031951904,2.8972671031951904,2.880000114440918
2025-07-02,2.897732973098755,2.897732973098755,2.897382974624634,2.874000072479248
2025-07-03,2.8960421085357666,2.8960421085357666,2.875,2.8897829055786133
2025-07-04,2.902132987976074,2.902132987976074,2.899048089981079,2.880000114440918
