Date,Open,High,Low,Close
2025-04-28,3.962923049926758,3.962923049926758,3.9597129821777344,3.968985080718994
2025-04-29,3.968200922012329,3.9843099117279053,3.968200922012329,3.9597129821777344
2025-04-30,3.988626003265381,3.988626003265381,3.9482040405273438,3.9843099117279053
2025-05-01,3.9510140419006348,3.9510140419006348,3.9505488872528076,3.9482040405273438
2025-05-02,3.9700560569763184,3.9700560569763184,3.9700560569763184,3.9505488872528076
2025-05-05,3.9649369716644287,3.9649369716644287,3.9649369716644287,3.967705011367798
2025-05-06,3.9893360137939453,3.9893360137939453,3.9893360137939453,3.9649369716644287
2025-05-07,3.9831740856170654,3.9831740856170654,3.9831740856170654,3.9893360137939453
2025-05-08,3.978656053543091,3.978656053543091,3.978656053543091,3.9831740856170654
2025-05-09,3.9775230884552,3.9775230884552,3.9775230884552,3.978656053543091
2025-05-12,3.9794108867645264,3.9794108867645264,3.9794108867645264,3.9758100509643555
2025-05-13,3.9818670749664307,3.990678071975708,3.9818670749664307,3.9794108867645264
2025-05-14,4.008413791656494,4.008413791656494,4.008413791656494,3.990678071975708
2025-05-15,3.9933528900146484,3.9933528900146484,3.9933528900146484,4.008413791656494
2025-05-16,3.9891510009765625,3.9891510009765625,3.9891510009765625,3.9933528900146484
2025-05-19,4.010422229766846,4.010422229766846,4.010422229766846,3.995600938796997
2025-05-20,4.018794059753418,4.018794059753418,3.990921974182129,4.010422229766846
2025-05-21,3.9871790409088135,3.9935901165008545,3.9871790409088135,3.990921974182129
2025-05-22,4.0022759437561035,4.0022759437561035,3.989320993423462,3.9935901165008545
2025-05-23,4.016223907470703,4.016223907470703,4.016223907470703,3.989320993423462
2025-05-26,4.018184185028076,4.02235221862793,4.01763391494751,4.014863014221191
2025-05-27,4.02216100692749,4.024353981018066,4.02216100692749,4.02235221862793
2025-05-28,4.0196027755737305,4.0196027755737305,4.01658296585083,4.024353981018066
2025-05-29,4.023538112640381,4.023538112640381,4.023538112640381,4.01658296585083
2025-05-30,4.009039878845215,4.009039878845215,4.009039878845215,4.023538112640381
2025-06-02,3.9990270137786865,4.004384994506836,3.9990270137786865,3.9966320991516113
2025-06-03,4.000496864318848,4.002869129180908,4.000496864318848,4.004384994506836
2025-06-04,4.01295280456543,4.01295280456543,4.011520862579346,4.002869129180908
2025-06-05,4.020937919616699,4.020937919616699,4.020937919616699,4.011520862579346
2025-06-06,3.998694896697998,3.998694896697998,3.998694896697998,4.020937919616699
2025-06-09,4.015458106994629,4.015458106994629,4.015458106994629,3.9992880821228027
2025-06-10,4.005197048187256,4.005197048187256,4.005197048187256,4.015458106994629
2025-06-11,3.9989850521087646,3.9989850521087646,3.9989850521087646,4.005197048187256
2025-06-12,3.995779037475586,4.000820159912109,3.995779037475586,3.9989850521087646
2025-06-13,4.008217811584473,4.008217811584473,3.986915111541748,4.000820159912109
2025-06-16,3.980146884918213,3.9898619651794434,3.9789559841156006,4.004490852355957
2025-06-17,3.9902679920196533,3.9902679920196533,3.9902679920196533,3.9898619651794434
2025-06-18,3.9646530151367188,3.9646530151367188,3.964073896408081,3.9902679920196533
2025-06-19,3.963176965713501,3.9658660888671875,3.963176965713501,3.964073896408081
2025-06-20,3.977508068084717,3.977508068084717,3.977508068084717,3.9658660888671875
2025-06-23,3.9665889739990234,3.9665889739990234,3.9474940299987793,3.9768099784851074
2025-06-24,3.9517130851745605,3.992655038833618,3.9517130851745605,3.9474940299987793
2025-06-25,3.987898111343384,3.987898111343384,3.987898111343384,3.992655038833618
2025-06-26,3.9850709438323975,4.024497032165527,3.9850709438323975,3.987898111343384
2025-06-27,4.032200813293457,4.032200813293457,3.9947259426116943,4.026856899261475
2025-06-30,3.98974609375,3.98974609375,3.9838740825653076,3.9930880069732666
2025-07-01,3.989809036254883,3.989809036254883,3.989809036254883,3.9838740825653076
2025-07-02,3.9838619232177734,3.9838619232177734,3.971510887145996,3.989809036254883
2025-07-03,3.9547219276428223,3.9547219276428223,3.9547219276428223,3.945341110229492
2025-07-04,3.965420961380005,3.965420961380005,3.9589450359344482,3.9547219276428223
2025-07-07,3.9568819999694824,3.9568819999694824,3.94873309135437,3.95782208442688
2025-07-08,3.951024055480957,3.951024055480957,3.940300941467285,3.94873309135437
2025-07-09,3.9531190395355225,3.9531190395355225,3.9531190395355225,3.940300941467285
2025-07-10,3.9477360248565674,3.948944091796875,3.9477360248565674,3.9531190395355225
2025-07-11,3.941200017929077,3.941200017929077,3.941200017929077,3.948944091796875
2025-07-14,3.9331119060516357,3.9331119060516357,3.9331119060516357,3.9402880668640137
2025-07-15,3.9255969524383545,3.9255969524383545,3.9234070777893066,3.9331119060516357
2025-07-16,3.930264949798584,3.930264949798584,3.924164056777954,3.9234070777893066
2025-07-17,3.9203639030456543,3.928292989730835,3.9203639030456543,3.924164056777954
2025-07-18,3.924344062805176,3.934295892715454,3.924344062805176,3.929337978363037
2025-07-21,3.9290990829467773,3.933605909347534,3.9290990829467773,3.93631911277771
2025-07-22,3.9283649921417236,3.9287960529327393,3.9283649921417236,3.933605909347534
2025-07-23,3.9277100563049316,3.933367967605591,3.9277100563049316,3.9287960529327393
2025-07-24,3.930464029312134,3.930464029312134,3.9276371002197266,3.933367967605591
2025-07-25,3.9170310497283936,3.9170310497283936,3.910723924636841,3.9276371002197266
2025-07-28,3.894390106201172,3.9150660037994385,3.894390106201172,3.910499095916748
2025-07-29,3.925323963165283,3.925323963165283,3.925323963165283,3.9150660037994385
2025-07-30,3.924952983856201,3.924952983856201,3.924952983856201,3.925323963165283
2025-07-31,3.9080491065979004,3.9080491065979004,3.9080491065979004,3.924952983856201
